# Calibrated: NO
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_815,rssi_868,rssi_915
28.10,56.3396595,-2.7892628,1.2,3,11.0,-92.0,-93.0,-92.0
28.20,56.3396593,-2.7892623,1.2,3,11.0,-92.0,-93.0,-92.0
28.30,56.3396592,-2.7892618,1.2,3,11.0,-92.0,-93.0,-92.0
28.40,56.3396588,-2.7892605,1.2,3,11.2,-92.0,-93.0,-91.5
28.50,56.3396588,-2.7892610,1.2,3,11.2,-92.0,-93.0,-91.5
28.60,56.3396587,-2.7892607,1.2,3,11.2,-92.0,-93.0,-91.5
28.70,56.3396585,-2.7892600,1.2,3,11.2,-92.0,-93.0,-91.5
28.80,56.3396583,-2.7892588,1.2,3,11.5,-91.5,-93.0,-91.5
28.90,56.3396580,-2.7892583,1.2,3,11.5,-91.5,-93.0,-91.5
29.00,56.3396578,-2.7892567,1.2,3,11.5,-91.5,-93.0,-91.5
29.10,56.3396577,-2.7892563,1.2,3,12.1,-91.5,-91.5,-91.5
29.20,56.3396577,-2.7892565,1.2,3,12.1,-91.5,-91.5,-91.5
29.30,56.3396575,-2.7892570,1.2,3,12.1,-91.5,-91.5,-91.5
29.40,56.3396575,-2.7892583,1.2,3,11.9,-91.5,-91.5,-92.0
29.50,56.3396573,-2.7892580,1.2,3,11.9,-91.5,-91.5,-92.0
29.60,56.3396572,-2.7892582,1.2,3,11.9,-91.5,-91.5,-92.0
29.70,56.3396568,-2.7892592,1.2,3,11.4,-92.5,-91.5,-92.0
29.80,56.3396565,-2.7892595,1.2,3,11.4,-92.5,-91.5,-92.0
29.90,56.3396563,-2.7892602,1.2,3,11.4,-92.5,-91.5,-92.0
30.00,56.3396562,-2.7892592,1.2,3,11.4,-92.5,-91.5,-92.0
30.10,56.3396560,-2.7892592,1.2,3,11.4,-92.5,-91.5,-92.0
30.20,56.3396560,-2.7892580,1.2,3,11.4,-92.5,-91.5,-92.0
30.30,56.3396558,-2.7892573,1.2,3,11.7,-92.5,-91.5,-91.5
30.40,56.3396555,-2.7892568,1.2,3,11.7,-92.5,-91.5,-91.5
30.50,56.3396553,-2.7892572,1.2,3,11.7,-92.5,-91.5,-91.5
30.60,56.3396553,-2.7892583,1.2,3,11.7,-92.5,-91.5,-91.5
30.70,56.3396550,-2.7892590,1.2,3,12.1,-91.5,-91.5,-91.5
30.80,56.3396548,-2.7892600,1.2,3,12.1,-91.5,-91.5,-91.5
30.90,56.3396548,-2.7892598,1.2,3,12.1,-91.5,-91.5,-91.5
31.00,56.3396547,-2.7892605,1.2,3,11.9,-91.5,-92.0,-91.5
31.10,56.3396545,-2.7892613,1.2,3,11.9,-91.5,-92.0,-91.5
31.20,56.3396545,-2.7892620,1.2,3,11.9,-91.5,-92.0,-91.5
31.30,56.3396543,-2.7892625,1.2,3,11.7,-91.5,-92.0,-92.0
31.40,56.3396540,-2.7892633,1.2,3,11.7,-91.5,-92.0,-92.0
31.50,56.3396540,-2.7892642,1.2,3,11.7,-91.5,-92.0,-92.0
31.60,56.3396542,-2.7892638,1.2,3,11.4,-92.0,-92.0,-92.0
31.70,56.3396542,-2.7892632,1.2,3,11.4,-92.0,-92.0,-92.0
31.80,56.3396538,-2.7892642,1.2,3,11.4,-92.0,-92.0,-92.0
31.90,56.3396537,-2.7892640,1.2,3,11.4,-92.0,-92.0,-92.0
32.00,56.3396537,-2.7892647,1.2,3,9.3,-92.0,-99.5,-92.0
32.10,56.3396532,-2.7892643,1.2,3,9.3,-92.0,-99.5,-92.0
32.20,56.3396535,-2.7892648,1.2,3,9.3,-92.0,-99.5,-92.0
32.30,56.3396535,-2.7892670,1.2,3,9.3,-92.0,-99.5,-92.0
32.40,56.3396538,-2.7892665,1.2,3,9.3,-92.0,-99.5,-92.0
32.50,56.3396540,-2.7892683,1.2,3,9.3,-92.0,-99.5,-92.0
32.60,56.3396542,-2.7892708,1.2,3,9.6,-91.5,-99.5,-92.0
32.70,56.3396542,-2.7892702,1.2,3,9.6,-91.5,-99.5,-92.0
32.80,56.3396542,-2.7892708,1.2,3,9.6,-91.5,-99.5,-92.0
32.90,56.3396538,-2.7892707,1.2,3,9.6,-91.5,-101.5,-92.0
33.00,56.3396540,-2.7892710,1.2,3,9.6,-91.5,-101.5,-92.0
33.10,56.3396538,-2.7892712,1.2,3,9.6,-91.5,-101.5,-92.0
33.20,56.3396537,-2.7892723,1.2,3,9.9,-91.5,-101.5,-91.5
33.30,56.3396537,-2.7892743,1.2,3,9.9,-91.5,-101.5,-91.5
33.40,56.3396533,-2.7892743,1.2,3,9.9,-91.5,-101.5,-91.5
33.50,56.3396532,-2.7892750,1.2,3,9.9,-91.5,-101.5,-91.5
33.60,56.3396530,-2.7892752,1.2,3,9.3,-92.5,-101.5,-91.5
33.70,56.3396528,-2.7892763,1.2,3,9.3,-92.5,-101.5,-91.5
33.80,56.3396528,-2.7892768,1.2,3,9.3,-92.5,-101.5,-91.5
33.90,56.3396527,-2.7892777,1.2,3,11.7,-92.5,-91.5,-91.5
34.00,56.3396525,-2.7892783,1.2,3,11.7,-92.5,-91.5,-91.5
34.10,56.3396527,-2.7892788,1.2,3,11.7,-92.5,-91.5,-91.5
34.20,56.3396523,-2.7892785,1.2,3,11.2,-92.5,-91.5,-92.5
34.30,56.3396523,-2.7892790,1.2,3,11.2,-92.5,-91.5,-92.5
34.40,56.3396522,-2.7892793,1.2,3,11.2,-92.5,-91.5,-92.5
34.50,56.3396520,-2.7892795,1.2,3,11.7,-91.5,-91.5,-92.5
34.60,56.3396518,-2.7892785,1.2,3,11.7,-91.5,-91.5,-92.5
34.70,56.3396518,-2.7892802,1.2,3,11.7,-91.5,-91.5,-92.5
34.80,56.3396517,-2.7892802,1.2,3,11.0,-91.5,-93.0,-92.5
34.90,56.3396515,-2.7892807,1.2,3,11.0,-91.5,-93.0,-92.5
35.00,56.3396515,-2.7892812,1.2,3,11.0,-91.5,-93.0,-92.5
35.10,56.3396513,-2.7892808,1.6,3,11.0,-91.5,-93.0,-92.5
35.20,56.3396512,-2.7892802,1.6,3,11.5,-91.5,-93.0,-91.5
35.30,56.3396510,-2.7892805,1.6,3,11.5,-91.5,-93.0,-91.5
35.40,56.3396510,-2.7892803,1.6,3,11.5,-91.5,-93.0,-91.5
35.50,56.3396508,-2.7892807,1.6,3,11.5,-91.5,-93.0,-91.5
35.60,56.3396507,-2.7892807,1.6,3,11.5,-91.5,-93.0,-91.5
35.70,56.3396505,-2.7892808,1.6,3,11.5,-91.5,-93.0,-91.5
35.80,56.3396503,-2.7892815,1.6,3,11.9,-91.5,-92.0,-91.5
35.90,56.3396503,-2.7892813,1.6,3,11.9,-91.5,-92.0,-91.5
36.00,56.3396502,-2.7892812,1.6,3,11.9,-91.5,-92.0,-91.5
36.10,56.3396502,-2.7892823,1.6,3,9.6,-91.5,-92.0,-101.0
36.20,56.3396500,-2.7892828,1.6,3,9.6,-91.5,-92.0,-101.0
36.30,56.3396498,-2.7892828,1.6,3,9.6,-91.5,-92.0,-101.0
36.40,56.3396497,-2.7892828,1.6,3,9.9,-91.0,-92.0,-101.0
36.50,56.3396495,-2.7892838,1.2,3,9.9,-91.0,-92.0,-101.0
36.60,56.3396493,-2.7892835,1.2,3,9.9,-91.0,-92.0,-101.0
